Age,Area_Rural,Area_Suburban,Area_Urban,Bandwidth_GB_Year,Children,Churn_Yes,Contacts,Contract_Month_To_Month,Contract_One_Year,Contract_Two_Year,CourteousExchange,Deviceprotection_Yes,Email,EvidenceOfActiveListening,Gender_Female,Gender_Male,Gender_Nonbinary,Income,Internetservice_Dsl,Internetservice_Fiber_Optic,Internetservice_None,Marital_Divorced,Marital_Married,Marital_Never_Married,Marital_Separated,Marital_Widowed,MonthlyCharge,Multiple_Yes,Onlinebackup_Yes,Onlinesecurity_Yes,Options,Outage_Sec_Perweek,Paperlessbilling_Yes,Paymentmethod_Bank_Transfer(Automatic),Paymentmethod_Credit_Card_(Automatic),Paymentmethod_Electronic_Check,Paymentmethod_Mailed_Check,Phone_Yes,Population,Port_Modem_Yes,Reliability,RespectfulResponse,Streamingmovies_Yes,Streamingtv_Yes,Tablet_Yes,Techie_Yes,Techsupport_Yes,Tenure,TimelyFixes,TimelyReplacements,TimelyResponse,Yearly_Equip_Failure
68,0,0,1,904.5361102,0,0,0,0,1,0,3,0,10,4,0,1,0,28561.99,0,1,0,0,0,0,0,1,172.455519,0,1,1,4,7.978322947,1,0,1,0,0,1,38,1,3,4,1,0,1,0,0,6.795512947,5,5,5,1
27,0,0,1,800.9827661,1,1,0,1,0,0,4,0,12,4,1,0,0,21704.77,0,1,0,0,1,0,0,0,242.632554,1,0,1,4,11.69907956,1,1,0,0,0,1,10446,0,3,3,1,1,1,1,0,1.156680997,4,3,3,1
50,0,0,1,2054.706961,4,0,0,0,0,1,3,0,9,3,1,0,0,9609.57,1,0,0,0,0,0,0,1,159.947583,1,0,0,4,10.75280028,1,0,1,0,0,1,3735,1,4,3,1,0,0,1,0,15.75414408,4,2,4,1
48,0,1,0,2164.579412,1,0,2,0,0,1,3,0,15,3,0,1,0,18925.23,1,0,0,0,1,0,0,0,119.95684,0,0,1,5,14.91353964,1,0,0,0,1,1,13863,0,2,4,0,1,0,1,0,17.08722662,4,4,4,0
83,0,1,0,271.4934362,0,1,2,1,0,0,4,0,16,5,0,1,0,40074.19,0,1,0,0,0,0,1,0,149.948316,0,0,0,4,8.147416533,0,0,0,0,1,0,11352,1,3,4,0,1,0,0,1,1.670971726,4,4,4,1
83,0,0,1,1039.357983,3,0,3,0,1,0,3,1,15,3,1,0,0,22660.2,0,0,1,0,0,1,0,0,185.007692,1,1,1,4,8.420992898,0,0,0,1,0,1,17701,1,2,3,1,0,0,0,0,7.000993555,3,3,3,1
79,0,1,0,1907.242972,0,1,0,1,0,0,5,0,10,5,0,1,0,11467.5,1,0,0,0,0,0,0,1,200.118516,0,0,0,1,11.18272453,0,0,0,1,0,1,2535,0,4,5,1,1,0,1,1,13.23677381,5,6,6,1
30,0,1,0,979.6127078,2,1,0,1,0,0,4,0,16,5,1,0,0,26759.64,1,0,0,0,1,0,0,0,114.950905,0,1,0,2,7.791632265,1,0,0,0,1,0,23144,0,5,3,0,0,0,1,0,4.26425515,2,2,2,0
49,0,1,0,1312.874964,2,0,2,1,0,0,4,0,20,4,0,0,1,58634.51,1,0,0,0,0,0,1,0,117.468591,0,1,1,4,5.739005915,1,1,0,0,0,1,17351,1,3,3,0,0,0,0,0,8.220686373,4,4,5,3
86,1,0,0,508.7637913,1,0,1,0,0,1,3,1,18,3,1,0,0,50231.4,0,1,0,0,1,0,0,0,162.482694,0,0,1,5,8.707823904,1,0,0,0,1,1,20193,1,2,2,1,0,0,0,0,3.422086139,2,2,2,0
23,0,0,1,2728.767869,7,0,0,1,0,0,3,0,9,4,1,0,0,22580.7,1,0,0,0,0,0,1,0,174.958118,1,1,1,3,9.341631685,0,0,0,0,1,1,555,0,7,3,0,1,0,0,0,19.26726194,4,4,4,2
56,1,0,0,1180.588788,2,0,1,1,0,0,3,1,17,4,1,0,0,18342.12,0,1,0,0,1,0,0,0,149.962093,0,0,0,4,6.68082638,0,0,0,1,0,1,33372,1,4,4,0,1,0,0,0,10.52199781,4,3,4,1
83,1,0,0,1196.388018,0,0,0,1,0,0,3,0,9,3,0,1,0,83671.08,0,1,0,1,0,0,0,0,137.439154,0,0,0,3,8.273875452,0,1,0,0,0,1,556,1,4,2,0,1,0,0,0,13.01149229,2,1,1,0
29,0,0,1,1948.694497,5,0,1,0,0,1,4,0,14,4,1,0,0,115114.57,0,1,0,0,0,0,1,0,184.971516,1,0,1,4,5.880565591,1,1,0,0,0,1,0,1,2,5,0,1,1,0,1,16.87922024,6,5,5,0
