Age,Area_Rural,Area_Suburban,Area_Urban,Children,Churn_Yes,Contacts,Contract_Month_To_Month,Contract_One_Year,Contract_Two_Year,CourteousExchange,Deviceprotection_Yes,Email,EvidenceOfActiveListening,Gender_Female,Gender_Male,Gender_Nonbinary,Income,Internetservice_Dsl,Internetservice_Fiber_Optic,Internetservice_None,Marital_Divorced,Marital_Married,Marital_Never_Married,Marital_Separated,Marital_Widowed,MonthlyCharge,Multiple_Yes,Onlinebackup_Yes,Onlinesecurity_Yes,Options,Outage_Sec_Perweek,Paperlessbilling_Yes,Paymentmethod_Bank_Transfer(Automatic),Paymentmethod_Credit_Card_(Automatic),Paymentmethod_Electronic_Check,Paymentmethod_Mailed_Check,Phone_Yes,Population,Port_Modem_Yes,Reliability,RespectfulResponse,Streamingmovies_Yes,Streamingtv_Yes,Tablet_Yes,Techie_Yes,Techsupport_Yes,Tenure,TimelyFixes,TimelyReplacements,TimelyResponse,Yearly_Equip_Failure,Bandwidth_GB_Year
43,1,0,0,0,0,0,1,0,0,3,0,12,4,0,0,1,18677.06,0,0,1,1,0,0,0,0,117.472,0,0,0,3,5.566881,1,1,0,0,0,1,3650,1,5,4,0,1,0,0,1,4.431604,4,5,4,0,542.7248776
40,0,1,0,0,0,0,1,0,0,2,0,12,2,0,1,0,31429.51,0,1,0,0,0,1,0,0,262.6106,1,1,0,3,9.708299,0,1,0,0,0,1,1772,1,3,3,1,1,1,0,0,61.35427,2,1,1,1,5725.876807
72,0,1,0,4,1,0,1,0,0,5,1,12,5,0,1,0,19685.04,1,0,0,0,0,0,1,0,174.9768,1,0,0,3,15.8001,1,0,0,0,1,1,1121,1,4,3,0,1,1,0,1,13.43811,4,4,4,0,1965.462483
35,0,0,1,4,0,0,0,0,1,4,0,13,5,0,1,0,29179.15,0,0,1,0,0,0,1,0,172.4848,1,1,1,3,7.449366,1,0,1,0,0,1,4555,1,3,3,1,0,0,0,0,3.911083,3,3,4,0,971.4767445
25,0,1,0,1,0,0,0,0,1,3,0,11,4,1,0,0,36700.44,0,0,1,1,0,0,0,0,159.9642,1,1,0,2,12.70422,1,1,0,0,0,1,21981,0,3,5,0,1,1,0,0,59.28871,3,3,4,0,5328.076501
70,1,0,0,0,0,0,1,0,0,3,0,12,3,0,1,0,30328.46,0,1,0,1,0,0,0,0,147.4421,0,0,0,3,9.920573,0,0,1,0,0,1,69,0,5,3,1,0,0,0,0,5.595446,4,2,3,1,630.454611
73,0,1,0,2,1,3,1,0,0,2,0,11,1,0,1,0,36841.04,0,1,0,0,1,0,0,0,232.6228,0,1,1,4,12.74847,0,0,1,0,0,1,12864,1,3,2,1,1,0,1,0,61.27787,2,2,2,0,5676.244141
84,1,0,0,4,0,1,1,0,0,4,0,10,4,1,0,0,24026.7,0,1,0,0,0,1,0,0,162.4526,0,1,1,2,7.072618,1,0,0,0,1,1,3891,0,5,4,0,1,0,1,0,60.38138,3,3,3,0,5319.773541
45,1,0,0,3,1,0,0,0,1,4,0,17,4,0,1,0,69222.79,1,0,0,0,0,0,0,1,232.62403,1,0,0,3,15.42891992,0,1,0,0,0,1,497,0,3,3,1,1,0,0,1,6.215774391,4,3,4,1,1607.735971
74,1,0,0,0,0,4,1,0,0,7,1,10,4,0,1,0,58425.91,0,1,0,1,0,0,0,0,182.4676,1,0,0,2,10.92195,0,1,0,0,0,1,101,0,5,4,0,1,0,0,0,61.55321,4,5,5,0,5360.396176
33,1,0,0,1,1,2,1,0,0,6,1,9,3,1,0,0,34945.56,0,1,0,1,0,0,0,0,214.9663,1,1,0,3,6.281176,1,0,0,1,0,1,20269,0,4,5,1,0,1,0,0,31.44123,5,4,5,0,3069.097767
79,1,0,0,2,0,3,1,0,0,4,0,13,3,1,0,0,21406.95,1,0,0,0,0,1,0,0,194.9525,1,1,0,4,13.50438,1,1,0,0,0,1,6100,0,4,2,1,0,1,1,1,71.50974,3,2,2,0,6564.863417
58,1,0,0,1,0,1,0,1,0,4,1,10,3,1,0,0,55438.14,1,0,0,1,0,0,0,0,152.4742,0,0,0,3,11.02008,1,0,1,0,0,1,708,0,3,3,1,0,0,0,1,12.73029,3,4,4,1,1705.874036
57,1,0,0,0,1,2,1,0,0,2,0,12,2,1,0,0,47757.95,1,0,0,0,0,1,0,0,184.961033,1,1,1,4,7.550902576,1,0,0,1,0,0,11499,0,3,4,1,0,0,0,0,1.456262249,3,2,3,1,906.2735981
65,0,1,0,0,1,1,1,0,0,3,0,15,3,1,0,0,94296.35,0,0,1,0,0,0,1,0,147.4713,1,0,0,3,11.46299,0,0,1,0,0,1,1770,0,3,3,1,0,0,0,0,3.23817,2,4,3,0,443.3624779
27,0,1,0,2,0,2,0,1,0,3,1,14,4,0,1,0,33392.44,0,1,0,1,0,0,0,0,204.9634,1,1,0,5,9.789614,0,0,0,1,0,1,2368,1,2,3,0,1,0,0,0,51.59283,6,5,5,2,4853.919295
55,1,0,0,0,0,1,0,1,0,4,0,11,4,0,1,0,62894.22,1,0,0,1,0,0,0,0,92.45514,0,0,0,2,6.601125,1,0,0,1,0,1,487,1,4,5,0,0,0,1,0,16.71459,4,3,3,0,1844.526573
47,0,1,0,1,0,1,1,0,0,2,0,14,3,1,0,0,34264.02,0,0,1,0,1,0,0,0,119.989722,0,0,1,6,6.259396187,0,0,0,1,0,0,489,0,1,1,0,1,1,1,1,5.794641025,2,4,4,2,786.3429747
41,0,1,0,1,1,1,1,0,0,2,0,6,4,1,0,0,58384.68,0,1,0,0,1,0,0,0,172.455519,0,1,1,3,9.290332689,1,0,0,1,0,1,7453,1,4,3,1,0,1,0,0,1.415346194,4,5,4,0,500.7187258
77,0,0,1,2,0,2,1,0,0,2,1,11,2,1,0,0,78661.48,0,1,0,0,0,1,0,0,159.983,0,1,0,5,12.62813,1,0,0,1,0,1,38957,1,3,2,0,0,0,0,1,63.61158,2,2,2,0,5364.283551
44,1,0,0,0,1,0,1,0,0,3,1,15,2,0,1,0,61478.9,1,0,0,1,0,0,0,0,139.965,0,0,0,4,13.91858,0,0,0,1,0,1,475,0,4,3,1,0,0,0,0,28.22989,4,5,4,1,3068.956506
54,0,0,1,3,1,0,1,0,0,3,0,13,6,1,0,0,44711.74,0,0,1,0,0,0,0,1,107.4806,0,0,1,5,11.79632,0,0,1,0,0,1,647,0,3,4,0,1,0,0,0,6.307859,4,4,4,0,862.6906733
85,0,0,1,2,1,3,0,0,1,1,0,8,2,0,1,0,40133.04,0,1,0,0,0,1,0,0,275.119794,1,1,0,5,14.95030399,0,0,0,1,0,1,115,0,3,1,1,1,1,1,1,6.195470215,2,3,2,1,1124.637958
70,0,0,1,2,1,1,0,0,1,4,0,11,2,0,1,0,37535.82,0,1,0,0,1,0,0,0,192.4404,1,1,0,3,11.74644,0,0,0,1,0,1,40340,0,4,4,0,1,0,0,0,1.862828,4,4,4,0,553.0231321
18,1,0,0,4,1,0,1,0,0,2,0,12,3,1,0,0,70844.17,0,1,0,1,0,0,0,0,169.9447,1,0,0,4,9.367555,1,0,0,1,0,1,182,0,4,2,0,1,0,0,0,8.27839,2,4,3,1,1169.714886
18,1,0,0,7,0,0,1,0,0,3,1,12,6,0,1,0,57469.38,1,0,0,0,0,1,0,0,152.4742,0,0,0,3,13.72489,1,0,0,1,0,0,7122,1,3,3,1,0,0,0,1,62.10568,4,4,5,1,6149.726033
